H	CreationDate	
H	SNR	0.0
S	9	9	464.703
Z	2	928.407
1 250
2.002 250
18.015 1000
20.015 1000
84.017 250
85.019 250
88.04 20
101.068 20
101.1 20
102.032 250
102.052 20
104.05 20
112.027 750
113.029 750
129.042 1654.32
130.042 1500
131.042 1000
132.04 250
150.055 1750
151.055 1000
198.099 250
215.112 250
225.107 750
242.122 1642.87
269.136 250
277.113 1000
278.113 1750
279.113 1000
286.149 250
297.146 750
313.164 1699.07
425.257 250
441.111 250
442.113 250
442.27 250
452.265 750
453.267 750
458.126 1000
459.126 1750
460.126 1000
469.29 1685.595
471.28 1000
606.271 250
570.338 548.876
614.248 1000
615.248 1750
616.248 1000
623.284 250
633.279 750
634.281 750
650.294 1041.11
652.294 1000
668.27 250
669.272 250
687.285 1000
698.397 569.921
733.327 250
734.329 250
751.342 250
762.339 750
778.352 1015.19
782.352 250
798.365 1000
799.365 1750
800.365 1000
829.437 515.83
864.367 250
882.382 250
909.392 1052.93
S	10	10	575.702
Z	2	1150.404
1 250
19.015 1750
20.015 1000
72.037 250
73.039 250
88.04 20
89.052 1000
90.052 1750
91.052 1000
101.068 20
101.1 20
102.052 20
104.05 20
141.045 250
142.047 250
159.06 250
169.055 750
170.057 750
185.117 250
186.07 1601.61
188.07 1000
202.132 1000
203.132 1750
204.132 1000
212.082 250
213.084 250
240.092 750
257.107 1577.6
258.107 1500
259.107 1000
284.121 250
301.134 250
301.149 250
317.162 1000
318.162 1750
328.162 1615.3
341.141 250
358.154 250
368.149 750
385.164 1135.21
385.174 591.021
387.164 1000
481.16 250
482.162 250
498.175 1000
500.175 1000
508.137 250
525.15 250
535.145 750
552.16 975.623
553.16 2024.46
554.16 1000
581.23 250
597.243 1000
599.243 1000
606.203 250
607.205 250
634.213 750
651.228 989.121
652.228 2089.5
653.228 1000
748.227 250
752.288 498.1
765.24 1750
787.217 250
788.219 250
804.245 250
805.232 250
816.229 750
821.26 1000
832.242 1074.42
834.242 1000
867.315 565.958
875.282 250
876.284 250
902.247 250
903.249 250
920.262 250
930.257 750
931.259 750
947.272 1183.24
948.272 1500
949.272 1000
963.334 1000
965.334 1000
980.399 511.357
1015.327 250
1043.337 750
1044.339 750
1051.44 581.294
1060.35 1013
1061.352 1500
1062.352 1000
1086.364 250
1087.366 250
1104.379 250
1115.376 750
1122.47 528.203
1131.39 1063.61
S	11	11	684.829
Z	2	1368.658
1 250
2.002 250
19.015 1750
68.055 250
69.057 250
88.04 20
97.067 750
101.068 20
101.1 20
102.052 20
104.05 20
113.08 1075.44
114.08 1500
115.08 1000
157.188 250
158.19 250
174.203 1000
175.203 1750
176.203 1000
267.083 250
278.08 750
294.093 1665.04
296.093 1000
323.273 1000
352.077 250
353.079 250
370.092 250
380.087 750
381.089 750
397.102 1661.94
398.102 1500
451.328 250
452.33 250
470.343 1000
481.119 250
482.121 250
499.134 250
509.129 750
509.35 250
525.363 1000
526.144 1578.42
526.363 1750
527.363 1000
528.144 1000
539.141 250
556.154 250
567.151 750
583.164 1632.46
584.164 1500
641.148 250
659.163 250
664.469 250
665.471 250
669.158 750
670.16 750
681.484 1000
682.484 1750
683.484 1000
686.173 1575.06
767.478 250
784.493 1000
785.493 1750
786.493 1000
798.272 250
814.275 491.062
815.285 250
824.498 250
825.28 750
826.282 750
841.513 1000
842.295 996.905
844.295 1000
854.29 250
855.292 250
871.296 591.989
872.305 250
882.3 750
899.315 1039.03
900.315 1500
954.542 250
970.555 1000
972.555 1000
1001.36 250
1018.36 526.083
1019.375 250
1029.37 750
1030.372 750
1046.38 1069.93
1048.385 1000
1057.551 250
1073.564 1000
1075.564 1000
1148.43 250
1149.432 250
1165.43 576.861
1176.44 750
1177.442 750
1193.45 1125.86
1194.455 1500
1237.563 250
1238.565 250
1255.578 1750
1256.578 1000
1304.618 250
1332.628 750
1349.64 1729.34
S	12	12	711.946
Z	2	1422.893
2.002 250
18.015 1000
19.015 1750
20.015 1000
88.04 20
98.052 250
99.054 250
101.068 20
101.1 20
102.052 20
104.05 20
115.067 1000
116.067 1750
137.067 1031.15
157.209 250
168.206 750
184.119 1000
186.219 1000
197.12 250
214.135 1000
215.135 1750
216.135 1000
240.068 1136.11
276.254 250
277.256 250
294.269 250
304.264 750
305.266 750
312.15 250
313.152 250
321.179 1000
322.279 1500
323.279 1000
330.165 1750
331.165 1000
353.152 1131.79
379.263 250
397.278 250
407.273 750
408.275 750
424.208 1000
457.223 1000
458.223 1750
459.223 1000
492.343 250
497.228 250
498.23 250
510.358 250
514.243 1000
515.243 1750
520.353 750
521.355 750
537.268 1091.21
554.248 250
555.25 250
571.263 1000
666.363 1099.32
676.563 250
677.565 250
683.29 250
684.292 250
694.578 250
700.305 1000
702.305 1000
704.573 750
721.388 1000
723.348 1045.84
780.369 1120.7
805.605 250
806.607 250
823.62 250
833.615 750
834.617 750
850.63 1000
851.63 1500
862.625 250
867.509 250
868.511 250
880.64 250
885.524 1750
886.524 1000
891.637 750
907.45 1000
908.45 1061.98
919.645 250
920.647 250
937.66 250
948.657 750
964.57 1000
965.67 1500
966.67 1000
981.591 250
997.604 1000
998.604 1750
999.604 1000
1023.46 1085.32
1065.718 250
1076.715 750
1083.598 250
1084.6 250
1092.528 1000
1093.728 1500
1122.51 1133.22
1162.733 250
1163.735 250
1180.748 250
1190.743 750
1207.558 1000
1208.758 1500
1219.56 1002.04
1220.658 250
1221.66 250
1237.673 1000
1239.673 1000
1261.801 250
1279.816 250
1289.811 750
1290.813 750
1306.626 1000
1308.826 1000
1359.855 250
1376.868 250
1386.56 1011.24
S	13	13	956.063
Z	2	1911.126
1 250
2.002 250
18.015 1000
19.015 1750
20.015 1000
83.033 250
84.035 250
88.04 20
101.068 20
101.1 20
102.047 250
102.052 20
103.049 250
104.05 20
111.043 750
119.062 1000
121.062 1000
128.058 1637.897
129.058 1500
137.059 539.307
239.154 250
240.156 747.053
257.169 250
259.237 250
267.164 750
268.166 750
275.25 1000
284.179 1672.151
353.236 741.628
397.259 1625.829
399.259 1000
414.423 250
415.425 250
431.438 1000
432.438 1750
433.438 1000
465.314 250
466.316 250
494.326 750
510.339 1638.054
537.284 522.389
543.483 250
559.496 1000
560.496 1750
561.496 1000
611.401 530.511
647.33 250
666.327 487.208
671.523 250
674.338 750
682.438 579.93
688.538 1000
691.338 1179.93
692.353 1500
693.353 1000
723.348 577.429
735.38 250
742.56 250
743.562 250
745.375 750
746.377 750
753.475 555.841
759.575 1000
762.375 1117.84
763.39 1500
764.39 1000
780.369 570.28
788.402 250
789.404 250
806.417 250
833.427 1009.27
834.427 1500
835.427 1000
843.607 250
868.502 512.104
903.432 250
904.434 250
908.428 514.8
921.447 250
931.442 750
932.444 750
944.654 250
945.656 250
948.457 1004.12
949.457 1500
950.457 1000
962.669 1750
963.669 1000
969.55 497.103
1004.479 250
1005.481 250
1022.494 250
1023.46 555.353
1032.489 750
1033.491 750
1049.5 1182.82
1051.504 1000
1060.686 250
1105.526 250
1106.528 250
1122.52 540.158
1123.541 250
1130.721 250
1133.536 750
1134.538 750
1147.736 1000
1148.736 1750
1150.55 1639.701
1151.551 1500
1176.563 250
1177.565 250
1201.758 250
1202.76 250
1205.575 750
1218.773 1000
1219.58 571.064
1220.773 1000
1221.59 1681.916
1222.588 1500
1223.588 1000
1305.605 250
