ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
0,0,49,11299.5,1884.25,6,5.07383e+07,1884.32,1886.86,132.502,153.403,#FF0000,0.1,54.2373
0,0,103,11299.5,1615.22,7,3.66238e+08,1615.26,1617.46,131.836,187.59,#FF0000,0.1,54.2373
0,0,135,11299.5,1413.44,8,2.52976e+09,1413.47,1415.42,125.648,189.558,#FF0000,0.1,54.2373
0,0,138,11299.5,1256.5,9,3.42697e+09,1256.52,1258.27,124.945,189.558,#FF0000,0.1,54.2373
0,0,136,11299.5,1130.95,10,1.69933e+09,1130.95,1132.56,125.648,189.558,#FF0000,0.1,54.2373
0,0,133,11299.5,1028.23,11,1.45361e+09,1028.22,1029.7,125.313,189.558,#FF0000,0.1,54.2373
0,0,141,11299.5,942.63,12,2.22796e+09,942.613,943.983,124.108,189.558,#FF0000,0.1,54.2373
0,0,159,11299.5,870.197,13,3.28342e+09,870.174,871.454,124.108,189.558,#FF0000,0.1,54.2373
0,0,161,11299.5,808.112,14,3.63825e+09,808.084,809.286,123.378,189.558,#FF0000,0.1,54.2373
0,0,156,11299.5,754.305,15,3.16577e+09,754.272,755.407,125.985,189.558,#FF0000,0.1,54.2373
0,0,149,11299.5,707.224,16,2.3897e+09,707.187,708.264,124.108,189.558,#FF0000,0.1,54.2373
0,0,134,11299.5,665.682,17,1.41664e+09,665.641,666.666,124.599,188.9,#FF0000,0.1,54.2373
0,0,107,11299.5,628.755,18,4.8562e+08,628.711,629.691,126.674,185.607,#FF0000,0.1,54.2373
0,0,61,11299.5,595.716,19,8.99307e+07,595.669,596.607,132.168,173.038,#FF0000,0.1,54.2373
0,0,3,11299.5,565.981,20,1.84507e+06,565.931,566.832,135.213,137.383,#FF0000,0.1,54.2373
1,0,13,11341.5,1891.25,6,1.88165e+07,1891.32,1893.86,125.648,152.899,#FF0000,0.1,54.8474
1,0,29,11341.5,1621.22,7,1.72282e+08,1621.26,1623.47,125.313,163.354,#FF0000,0.1,54.8474
1,0,31,11341.5,1418.69,8,9.4832e+08,1418.72,1420.67,123.378,182.3,#FF0000,0.1,54.8474
1,0,36,11341.5,1261.17,9,1.15702e+09,1261.18,1262.94,122.65,182.963,#FF0000,0.1,54.8474
1,0,32,11341.5,1135.15,10,6.37806e+08,1135.15,1136.76,122.995,169.787,#FF0000,0.1,54.8474
1,0,39,11341.5,1032.05,11,5.55111e+08,1032.04,1033.52,122.242,175.668,#FF0000,0.1,54.8474
1,0,34,11341.5,946.13,12,7.78996e+08,946.113,947.483,122.242,154.216,#FF0000,0.1,54.8474
1,0,42,11341.5,873.428,13,1.194e+09,873.405,874.685,121.197,164.584,#FF0000,0.1,54.8474
1,0,42,11341.5,811.112,14,1.15967e+09,811.084,812.286,120.15,180.312,#FF0000,0.1,54.8474
1,0,44,11341.5,757.105,15,1.17127e+09,757.072,758.208,120.15,163.354,#FF0000,0.1,54.8474
1,0,36,11341.5,709.849,16,8.675e+08,709.812,710.889,122.65,185.607,#FF0000,0.1,54.8474
1,0,34,11341.5,668.153,17,4.51388e+08,668.112,669.137,122.242,148.863,#FF0000,0.1,54.8474
1,0,24,11341.5,631.089,18,1.35335e+08,631.045,632.024,125.313,144.124,#FF0000,0.1,54.8474
1,0,14,11341.5,597.927,19,2.39399e+07,597.88,598.818,125.648,130.805,#FF0000,0.1,54.8474
2,0,1,23494.7,871.181,27,2.25839e+06,871.304,872.247,127.061,127.061,#FF0000,0.1,-1423.58
2,0,1,23494.7,811.169,29,9.37444e+07,811.277,812.168,127.061,127.061,#FF0000,0.1,-1423.58
3,0,1,22678,810.937,28,7.03898e+07,811.016,811.932,127.061,127.061,#FF0000,0.1,-1122.14
4,0,6,11295.5,1412.94,8,1.80322e+08,1412.96,1414.92,129.42,138.253,#FF0000,0.1,22.3731
4,0,7,11295.5,1256.06,9,1.29601e+08,1256.07,1257.83,126.674,133.584,#FF0000,0.1,22.3731
4,0,2,11295.5,1130.55,10,1.26476e+06,1130.55,1132.16,125.313,128.751,#FF0000,0.1,22.3731
4,0,3,11295.5,1027.87,11,3.24375e+06,1027.86,1029.33,125.985,128.305,#FF0000,0.1,22.3731
